numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20151019120000;102320;0;4;360;1.900000;286.050000;283.950000;87;5500;1;2;2;100;8;mq;35;mq;mq;101450;mq;mq;280;mq;mq;mq;mq;280.150000;mq;mq;3.100000;4.000000;-10;1;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;6;600;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20151019120000;102250;-20;8;30;3.200000;286.750000;283.550000;81;7340;0;mq;mq;100;7;450;mq;mq;mq;101680;mq;mq;240;mq;mq;mq;mq;282.150000;mq;mq;5.200000;5.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;6;mq;510;7;mq;660;8;mq;1860;mq;mq;mq;
07020;20151019120000;102470;50;3;50;5.900000;287.750000;284.850000;83;14000;1;2;mq;75;6;800;32;20;10;102200;mq;mq;450;mq;mq;mq;mq;mq;mq;mq;8.600000;9.300000;-10;mq;mq;mq;mq;0.000000;-0.100000;7.900000;7.900000;7.900000;mq;mq;mq;mq;6;8;600;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20151019120000;102330;-10;0;330;0.700000;285.350000;281.850000;79;12000;1;2;2;90;7;450;35;mq;mq;101520;mq;mq;410;mq;mq;mq;mq;275.950000;mq;mq;1.700000;1.900000;-10;0;0.000000;0.000000;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;5;6;310;7;6;1830;mq;mq;mq;mq;mq;mq;
07037;20151019120000;102270;-20;8;30;2.500000;285.150000;282.850000;86;7000;1;2;2;90;7;250;36;mq;mq;100440;mq;mq;260;mq;mq;mq;mq;278.350000;mq;mq;3.800000;3.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;6;7;210;7;6;1590;mq;mq;mq;mq;mq;mq;
07072;20151019120000;102210;-30;8;10;1.300000;283.250000;280.650000;84;5160;0;mq;mq;100;8;450;mq;mq;mq;101050;mq;mq;270;mq;mq;mq;mq;278.550000;mq;mq;2.200000;2.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;300;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20151019120000;102330;80;2;50;6.700000;288.250000;281.950000;66;20000;1;0;0;40;2;800;31;20;11;101190;mq;mq;480;mq;mq;mq;mq;275.150000;mq;mq;9.800000;11.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;2;8;690;2;0;7500;mq;mq;mq;mq;mq;mq;
07117;20151019120000;102370;60;3;70;4.800000;287.550000;283.750000;78;18000;3;2;mq;90;7;1750;37;mq;mq;101670;mq;mq;480;mq;mq;mq;mq;mq;mq;mq;8.800000;9.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;6;1500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20151019120000;102220;10;0;50;5.400000;288.250000;279.250000;55;27820;0;mq;mq;mq;0;mq;mq;mq;mq;101770;mq;mq;380;mq;mq;mq;mq;278.950000;mq;mq;8.100000;8.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20151019120000;102210;-20;8;60;3.600000;287.250000;279.550000;60;20000;0;mq;mq;100;8;1750;mq;mq;mq;100470;mq;mq;340;mq;mq;mq;mq;273.650000;mq;mq;5.700000;6.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;mq;1620;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20151019120000;102220;-30;8;350;2.000000;284.850000;279.550000;70;11000;3;2;2;90;7;450;35;mq;mq;101130;mq;mq;280;mq;mq;mq;mq;mq;mq;mq;3.800000;4.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;6;550;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20151019120000;102190;-80;8;10;0.500000;281.950000;280.550000;91;9210;0;mq;mq;100;8;800;mq;mq;mq;100750;mq;mq;290;mq;mq;mq;mq;275.150000;mq;mq;1.600000;1.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;mq;720;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20151019120000;102170;-40;8;20;1.500000;281.250000;278.150000;81;15070;0;mq;mq;90;4;800;mq;mq;mq;98030;mq;mq;280;mq;mq;mq;mq;271.450000;mq;mq;2.900000;2.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;960;4;mq;1470;7;mq;1860;mq;mq;mq;
07190;20151019120000;102170;-60;8;60;3.500000;283.550000;278.550000;71;8950;0;mq;mq;mq;1;450;mq;mq;mq;100340;mq;mq;280;mq;mq;mq;mq;272.550000;mq;mq;5.500000;5.500000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;420;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20151019120000;102090;30;2;60;10.000000;286.650000;279.050000;60;18000;2;2;mq;60;1;1250;31;20;11;101570;mq;mq;340;mq;mq;mq;mq;mq;mq;mq;13.900000;16.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1000;5;0;8500;mq;mq;mq;mq;mq;mq;
07222;20151019120000;102020;10;0;50;6.900000;286.350000;278.250000;58;15000;2;0;0;40;0;7800;30;20;12;101710;mq;mq;320;mq;mq;mq;mq;279.550000;mq;mq;10.300000;11.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;0;7800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
