numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20151026120000;101530;-170;8;120;5.000000;284.650000;283.050000;90;9370;0;2;mq;mq;mq;mq;mq;mq;mq;100660;mq;mq;-1100;mq;mq;mq;mq;279.450000;mq;mq;8.200000;9.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20151026120000;101600;-200;8;120;4.000000;289.450000;283.750000;69;8870;0;mq;mq;mq;0;mq;mq;mq;mq;101040;mq;mq;-980;mq;mq;mq;mq;279.650000;mq;mq;5.800000;6.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20151026120000;101090;-170;8;140;4.400000;291.350000;284.450000;64;16000;3;0;mq;50;0;5500;30;20;11;100830;mq;mq;-1550;mq;mq;mq;mq;mq;mq;mq;7.500000;8.300000;-10;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;mq;mq;mq;mq;4;0;5500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20151026120000;101230;-140;8;130;6.200000;287.750000;284.550000;81;12000;1;0;0;10;1;450;31;20;11;100430;mq;mq;-1380;mq;mq;mq;mq;273.050000;mq;mq;8.000000;9.200000;-10;1;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;350;1;0;8000;mq;mq;mq;mq;mq;mq;
07037;20151026120000;101460;-130;8;120;5.000000;283.450000;283.150000;98;600;45;4;2;101;9;mq;62;61;60;99630;mq;mq;-1130;mq;mq;mq;mq;280.650000;mq;mq;6.600000;7.200000;-10;mq;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;9;59;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20151026120000;101680;-170;8;120;5.700000;287.150000;283.150000;77;18840;0;mq;mq;mq;4;450;mq;mq;mq;100540;mq;mq;-860;mq;mq;mq;mq;277.450000;mq;mq;7.600000;7.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;4;mq;450;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20151026120000;100680;-130;8;140;4.900000;288.250000;285.750000;85;15890;0;2;2;100;8;450;mq;mq;mq;99560;mq;mq;-1730;mq;mq;mq;mq;282.550000;mq;mq;7.500000;9.500000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20151026120000;100770;-90;8;170;2.000000;290.350000;284.850000;70;20000;2;2;mq;90;7;800;36;24;mq;100090;mq;mq;-1700;mq;mq;mq;mq;mq;mq;mq;4.500000;6.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;7;900;5;3;2000;mq;mq;mq;mq;mq;mq;
07130;20151026120000;101070;-180;8;100;4.700000;286.950000;283.950000;82;13150;0;mq;mq;mq;1;250;mq;mq;mq;100630;mq;mq;-1450;mq;mq;mq;mq;280.450000;mq;mq;7.000000;7.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20151026120000;101370;-140;8;120;1.900000;284.250000;282.950000;92;12860;0;mq;mq;100;8;150;mq;mq;mq;99630;mq;mq;-1180;mq;mq;mq;mq;272.650000;mq;mq;3.200000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20151026120000;101540;-140;8;120;1.900000;283.950000;283.450000;97;5100;1;2;2;100;8;150;36;mq;mq;100450;mq;mq;-1060;mq;mq;mq;mq;mq;mq;mq;3.600000;3.600000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;5;7;120;8;7;150;mq;mq;mq;mq;mq;mq;
